# Copyright (C) 2023  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 22.1std.1 Build 917 02/14/2023 SC Lite Edition
# File: C:\Users\Ruchira\Desktop\FloatingPointUnit.csv
# Generated on: Mon Dec 23 19:11:28 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
seg_out8[6],Output,PIN_AD17,4,B4_N2,PIN_AD17,2.5 V,,,,,
seg_out8[5],Output,PIN_AE17,4,B4_N2,PIN_AE17,2.5 V,,,,,
seg_out8[4],Output,PIN_AG17,4,B4_N2,PIN_AG17,2.5 V,,,,,
seg_out8[3],Output,PIN_AH17,4,B4_N2,PIN_AH17,2.5 V,,,,,
seg_out8[2],Output,PIN_AF17,4,B4_N2,PIN_AF17,2.5 V,,,,,
seg_out8[1],Output,PIN_AG18,4,B4_N2,PIN_AG18,2.5 V,,,,,
seg_out8[0],Output,PIN_AA14,3,B3_N0,PIN_AA14,2.5 V,,,,,
seg_out7[6],Output,PIN_AA17,4,B4_N1,PIN_AA17,2.5 V,,,,,
seg_out7[5],Output,PIN_AB16,4,B4_N2,PIN_AB16,2.5 V,,,,,
seg_out7[4],Output,PIN_AA16,4,B4_N2,PIN_AA16,2.5 V,,,,,
seg_out7[3],Output,PIN_AB17,4,B4_N1,PIN_AB17,2.5 V,,,,,
seg_out7[2],Output,PIN_AB15,4,B4_N2,PIN_AB15,2.5 V,,,,,
seg_out7[1],Output,PIN_AA15,4,B4_N2,PIN_AA15,2.5 V,,,,,
seg_out7[0],Output,PIN_AC17,4,B4_N2,PIN_AC17,2.5 V,,,,,
seg_out6[6],Output,PIN_AD18,4,B4_N1,PIN_AD18,2.5 V,,,,,
seg_out6[5],Output,PIN_AC18,4,B4_N1,PIN_AC18,2.5 V,,,,,
seg_out6[4],Output,PIN_AB18,4,B4_N0,PIN_AB18,2.5 V,,,,,
seg_out6[3],Output,PIN_AH19,4,B4_N2,PIN_AH19,2.5 V,,,,,
seg_out6[2],Output,PIN_AG19,4,B4_N2,PIN_AG19,2.5 V,,,,,
seg_out6[1],Output,PIN_AF18,4,B4_N1,PIN_AF18,2.5 V,,,,,
seg_out6[0],Output,PIN_AH18,4,B4_N2,PIN_AH18,2.5 V,,,,,
seg_out5[6],Output,PIN_AB19,4,B4_N0,PIN_AB19,2.5 V,,,,,
seg_out5[5],Output,PIN_AA19,4,B4_N0,PIN_AA19,2.5 V,,,,,
seg_out5[4],Output,PIN_AG21,4,B4_N2,PIN_AG21,2.5 V,,,,,
seg_out5[3],Output,PIN_AH21,4,B4_N2,PIN_AH21,2.5 V,,,,,
seg_out5[2],Output,PIN_AE19,4,B4_N1,PIN_AE19,2.5 V,,,,,
seg_out5[1],Output,PIN_AF19,4,B4_N1,PIN_AF19,2.5 V,,,,,
seg_out5[0],Output,PIN_AE18,4,B4_N2,PIN_AE18,2.5 V,,,,,
seg_out4[6],Output,PIN_V21,5,B5_N1,PIN_V21,2.5 V,,,,,
